,date,tencent,ali,sum_13
420,20210907 12,141696,238462,754047
421,20210907 13,145278,247494,792508
422,20210907 14,152001,254391,814440
423,20210907 15,155094,264437,837710
424,20210907 16,146946,249046,782650
425,20210907 17,127509,212420,669193
426,20210907 18,129055,215625,684575
427,20210907 19,129958,218589,693805
428,20210907 20,122851,205226,652310
429,20210907 21,111045,187805,591938
430,20210907 22,78426,129327,417046
431,20210907 23,61522,92458,316079
432,20210908 00,56867,82828,288830
433,20210908 01,41965,58268,215905
434,20210908 02,29017,40535,156973
435,20210908 03,22191,30485,122766
436,20210908 04,19379,26895,110679
437,20210908 05,20626,27226,115597
438,20210908 06,32133,41326,160826
439,20210908 07,60401,78595,283450
440,20210908 08,99981,141626,495840
441,20210908 09,119798,174161,601965
442,20210908 10,131055,201327,672765
443,20210908 11,135705,222852,707797
444,20210908 12,136939,220725,701601
445,20210908 13,144423,235614,765258
446,20210908 14,144585,238536,765395
447,20210908 15,148245,246469,785473
448,20210908 16,140344,233028,734937
449,20210908 17,115122,188677,596944
450,20210908 18,116724,195535,611905
451,20210908 19,117312,198452,617523
452,20210908 20,107509,187151,571853
453,20210908 21,96419,163594,511661
454,20210908 22,81210,137688,433129
455,20210908 23,77138,132757,413673
456,20210909 00,70934,120500,383630
457,20210909 01,49494,77574,268293
458,20210909 02,35594,53022,196025
459,20210909 03,27133,39981,157355
460,20210909 04,23498,33956,138562
461,20210909 05,25388,36923,144667
462,20210909 06,36500,52644,193608
463,20210909 07,68082,103788,345902
464,20210909 08,112020,177191,582688
465,20210909 09,136793,224772,723566
466,20210909 10,148603,253119,797454
467,20210909 11,136939,228835,720220
468,20210909 12,135672,220874,703417
469,20210909 13,143696,237954,765373
470,20210909 14,145311,241783,775200
471,20210909 15,148544,247012,786056
472,20210909 16,137929,227865,721443
473,20210909 17,119883,194738,618029
474,20210909 18,121808,201772,635231
475,20210909 19,119949,203006,640746
476,20210909 20,113378,192115,603583
477,20210909 21,99726,172145,542036
478,20210909 22,80231,133920,428610
479,20210909 23,79689,132856,425755
480,20210910 00,71980,117724,385272
481,20210910 01,46953,77915,272346
482,20210910 02,33628,53428,200564
483,20210910 03,25796,40705,158126
484,20210910 04,21609,35704,142122
485,20210910 05,23952,39177,147858
486,20210910 06,35424,54893,199637
487,20210910 07,69192,104051,352011
488,20210910 08,113682,177847,587127
489,20210910 09,134873,214954,701870
490,20210910 10,145293,238891,769166
491,20210910 11,131044,217499,689300
492,20210910 12,131067,208022,670454
493,20210910 13,122711,205109,653532
494,20210910 14,124887,212610,668040
495,20210910 15,121419,207338,655098
496,20210910 16,114956,196068,615709
497,20210910 17,98112,161715,517033
498,20210910 18,98707,167074,524959
499,20210910 19,90429,156445,498496
500,20210910 20,86349,150039,473428
501,20210910 21,81393,138911,441786
502,20210910 22,77580,130149,411088
503,20210910 23,73696,124637,397158
504,20210911 00,62632,105469,344358
505,20210911 01,49015,81280,275779
506,20210911 02,33788,55010,202532
507,20210911 03,25962,42254,160890
508,20210911 04,20734,33453,131412
509,20210911 05,22636,35320,135876
510,20210911 06,32602,47366,180188
511,20210911 07,51213,74648,263859
512,20210911 08,75762,117001,394609
513,20210911 09,92756,148267,487518
514,20210911 10,102090,167758,540383
515,20210911 11,102045,169632,538155
516,20210911 12,96665,160338,512708
517,20210911 13,91003,150002,480965
518,20210911 14,86479,141600,462973
519,20210911 15,91592,153036,496096
520,20210911 16,88609,148682,479307
521,20210911 17,91500,153062,487416
522,20210911 18,87470,146701,470347
523,20210911 19,84255,141506,458447
524,20210911 20,84854,143993,464736
525,20210911 21,79056,135820,434358
526,20210911 22,72525,123496,394365
527,20210911 23,66826,113865,363553
528,20210912 00,67398,111257,363398
529,20210912 01,51431,85039,290014
530,20210912 02,37282,61413,218409
531,20210912 03,27722,43913,165419
532,20210912 04,21718,34937,135641
533,20210912 05,22864,35869,138843
534,20210912 06,32217,46399,175494
535,20210912 07,49007,70194,250428
536,20210912 08,70917,108141,368533
537,20210912 09,90156,144563,476093
538,20210912 10,100524,163486,529807
539,20210912 11,101924,166811,531446
540,20210912 12,93399,155652,494490
541,20210912 13,87441,147186,478148
542,20210912 14,99817,166974,536990
543,20210912 15,97925,168062,538999
544,20210912 16,91148,153932,492484
545,20210912 17,88747,149143,471320
546,20210912 18,87439,149792,475106
547,20210912 19,87987,155729,492522
548,20210912 20,87144,150506,474832
549,20210912 21,84230,146995,462117
550,20210912 22,78138,132528,419051
551,20210912 23,74940,126883,404362
552,20210913 00,70505,119644,384341
553,20210913 01,48631,79502,271314
554,20210913 02,32865,54377,196333
555,20210913 03,26131,43183,162285
556,20210913 04,20565,35627,133001
557,20210913 05,22448,36145,137370
558,20210913 06,32779,50067,183224
559,20210913 07,65557,98257,336252
560,20210913 08,112203,176422,585835
561,20210913 09,138339,221286,728362
562,20210913 10,151419,247928,805778
563,20210913 11,140410,230213,734766
564,20210913 12,134837,225115,710441
565,20210913 13,140747,237274,759327
566,20210913 14,143159,243235,775047
567,20210913 15,146198,248419,787946
568,20210913 16,135413,231165,723256
569,20210913 17,119019,197871,621738
570,20210913 18,119922,202767,630048
571,20210913 19,114791,191394,600647
572,20210913 20,100139,169462,530020
573,20210913 21,93326,155056,489121
574,20210913 22,82411,141206,443200
575,20210913 23,79485,138325,428167
576,20210914 00,72502,125225,395916
577,20210914 01,47391,80532,267131
578,20210914 02,33761,54426,198381
579,20210914 03,26293,41373,157407
580,20210914 04,22254,35654,138827
581,20210914 05,23988,37028,142933
582,20210914 06,34579,51283,191092
583,20210914 07,67894,99912,343055
584,20210914 08,111906,174064,577515
585,20210914 09,133711,216677,698552
586,20210914 10,151068,251385,805825
587,20210914 11,140665,231166,735001
588,20210914 12,137705,228339,716377
589,20210914 13,139857,233472,753366
590,20210914 14,148473,242934,789612
591,20210914 15,145281,242168,776069
592,20210914 16,140283,231987,737239
593,20210914 17,128087,209912,660154
594,20210914 18,120901,199198,633380
595,20210914 19,121203,200338,635341
596,20210914 20,107021,180288,571072
597,20210914 21,99478,168766,530097
598,20210914 22,86088,146007,462962
599,20210914 23,76215,130900,412519
600,20210915 00,71676,119357,387733
601,20210915 01,53089,85641,295247
602,20210915 02,37762,60564,218877
603,20210915 03,27715,44534,166782
604,20210915 04,24088,38549,147335
605,20210915 05,24973,37830,148008
606,20210915 06,36300,53866,197813
607,20210915 07,74656,105279,366882
608,20210915 08,123434,183461,623369
609,20210915 09,142966,222313,734221
610,20210915 10,158891,253103,829042
611,20210915 11,143974,228801,735721
612,20210915 12,134650,211746,681974
613,20210915 13,146647,230424,762796
614,20210915 14,151437,241438,794291
615,20210915 15,149076,240213,780806
616,20210915 16,142687,228706,737633
617,20210915 17,120882,195520,622246
618,20210915 18,118798,191759,610450
619,20210915 19,124643,205420,650562
620,20210915 20,114420,187375,598184
621,20210915 21,98497,165674,521639
622,20210915 22,82686,139353,444035
623,20210915 23,80675,136318,427360
624,20210916 00,78732,114792,399354
625,20210916 01,56169,79362,289879
626,20210916 02,39105,52904,210287
627,20210916 03,29445,40148,164434
628,20210916 04,24543,33408,142315
629,20210916 05,26410,33746,146433
630,20210916 06,40660,49733,201077
631,20210916 07,77907,96334,362260
632,20210916 08,125210,166468,616061
633,20210916 09,147680,203026,732080
634,20210916 10,164441,230645,825795
635,20210916 11,151099,212130,747197
636,20210916 12,144492,202048,710853
637,20210916 13,157164,223615,797296
638,20210916 14,160836,228419,816980
639,20210916 15,155424,222473,794866
640,20210916 16,148664,210179,746114
641,20210916 17,128002,180942,634878
642,20210916 18,124183,175290,621196
643,20210916 19,125609,175558,625599
644,20210916 20,120323,172192,604703
645,20210916 21,103960,152873,531408
646,20210916 22,90575,135154,466159
647,20210916 23,83545,123122,424999
648,20210917 00,78224,115668,403428
649,20210917 01,57362,81957,300042
650,20210917 02,39346,53038,208099
651,20210917 03,30836,40327,164000
652,20210917 04,26398,34552,143309
653,20210917 05,27230,34937,146594
654,20210917 06,41231,51021,204507
655,20210917 07,79530,97196,365175
656,20210917 08,125863,167812,616524
657,20210917 09,148856,203235,737509
658,20210917 10,162056,228476,813546
659,20210917 11,148288,209629,734934
660,20210917 12,135518,195511,675679
661,20210917 13,144239,203977,733198
662,20210917 14,147597,211028,751440
663,20210917 15,143288,205517,729029
664,20210917 16,136874,195268,690441
